Out.SubInd,PrName,Observations,Studies,Sites,RR.Shapiro.Sig,RR,RR.median,RR.var,RR.se,RR.Quantiles0.25,PC.Shapiro.Sig,PC,PC.median,PC.se,PC.var,PC.Quantiles0.25,Units,Model,MeanT.Obs,MeanT,MeanT.se,MeanC.Obs,MeanC,MeanC.se,RR.t value,RR.Pr(>|t|),RR.Sigma2,PC.t value,PC.Pr(>|t|),PC.Sigma2,RR.pc.se.low,RR.pc,RR.pc.se.high,RR.pc.jen.low,RR.pc.jen,RR.pc.jen.high,PC.pc.se.low,PC.pc,PC.pc.se.high
Biomass Yield,Parklands,39,7,8,0.73596,4.7e-4,0.04511794770316725,0.15253,0.13113,-1.1508|-0.28553|0.04512|0.29047|1.29783,2e-5,1.08878,1.0461812267943171,0.11627,0.17929,0.31638|0.75214|1.04618|1.33708|3.66133,Mg/ha,lmerModLmerTest,22,2.7132,0.84229,8,2.44759,0.60571,0.00359,0.99725,0.05192,9.3646,3.5e-4,0.07861,-12.24839,0.04701,14.0652,-9.94053,2.67824,17.0651,-2.749,8.878,20.505
Soil Organic Carbon,Agroforestry Pruning,160,16,17,5e-5,0.18688,0.11152470753546186,0.06274,0.03924,-0.29235|0.017|0.11152|0.22648|1.08396,0,1.2462,1.117981389094194,0.05882,0.14746,0.7465|1.01716|1.11798|1.2542|2.95635,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,4.76224,2.2e-4,0.00649,21.18519,0,0.01562,15.90955,20.54826,25.37261,16.28629,20.94008,25.78011,18.738,24.62,30.502
Soil Nitrogen,Agroforestry Pruning-Organic Fertilizer,14,3,3,0.01251,0.48253,0.1509879180009272,0.16582,0.27452,0.07269|0.11826|0.15099|0.43685|1.22378,0.0013,1.76828,1.163155363155363,0.5279,0.62074,1.0754|1.12554|1.16316|1.54783|3.4,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,1.75773,0.22102,0.00723,3.34966,0.07901,0.03806,23.12255,62.01682,113.19776,23.56844,62.60358,113.96986,24.038,76.828,129.618
Soil Nitrogen,Agroforestry Pruning,113,20,18,0.00814,0.2138,0.1719224716278476,0.06321,0.04501,-0.73261|0.038|0.17192|0.31017|1.1421,0,1.2816,1.1876059410041129,0.06352,0.12554,0.48065|1.03873|1.18761|1.36367|3.13333,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,4.7503,2e-4,0.01182,20.17619,0,0.02349,18.38715,23.8375,29.53877,19.08889,24.57154,30.30661,21.808,28.16,34.512
Biomass Yield,Agroforestry Pruning-Organic Fertilizer,16,3,3,0.0817,0.6747,0.626488032419214,0.15514,0.15862,-0.23936|0.43855|0.62649|0.93815|1.24619,0.87979,2.07273,1.8710280373831776,0.32317,0.53274,0.78713|1.55064|1.87103|2.55577|3.47708,Mg/ha,lmerModLmerTest,6,4.49329,1.91928,6,2.17654,0.56922,4.25347,0.04907,0.03194,6.41378,0.02289,0.09484,67.5447,96.34439,130.09452,70.24187,99.50518,133.79863,74.956,107.273,139.59
Biomass Yield,Agroforestry Pruning,243,29,26,0,0.50775,0.2582338975361384,0.28891,0.11316,-0.7633|0.07425|0.25823|0.6722|2.52224,0,2.20061,1.2946417838682536,0.37383,2.59028,0.46613|1.07709|1.29464|1.95855|12.45645,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,4.48684,1.7e-4,0.02741,5.88659,0,0.15346,48.37757,66.15485,86.06204,50.42508,68.44768,88.62958,82.678,120.061,157.444
Crop Yield,Agroforestry Pruning-Organic Fertilizer,25,8,8,0.00235,0.51662,0.39248051684560775,0.12414,0.08724,0.04064|0.31168|0.39248|0.55426|1.98655,0,1.80236,1.480652877444773,0.21828,0.89659,1.04147|1.36571|1.48065|1.74083|7.29032,Mg/ha,lmerModLmerTest,13,4.99081,20.69601,11,3.48306,12.36703,5.9221,4.9e-4,0.06069,8.25704,7e-5,0.48783,53.63047,67.6352,82.91658,58.36384,72.80006,88.55226,58.408,80.236,102.064
Crop Yield,Agroforestry Pruning,848,68,53,0,0.53718,0.3721898563218545,0.34609,0.07385,-1.99896|0.06453|0.37219|0.72775|2.55414,0,2.13412,1.4509087118564363,0.2175,2.75789,0.13548|1.06666|1.45091|2.07041|12.86022,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,7.27365,0,0.0244,9.81186,0,0.17454,58.93577,71.11745,84.2328,60.88667,73.21787,86.49421,91.662,113.412,135.162
Crop Yield,Agroforestry Pruning-Inorganic Fertilizer,566,37,36,0,0.87558,0.6931471805599453,0.37706,0.09622,-0.39933|0.35954|0.69315|1.17865|3.55794,0,3.04611,2,0.38803,6.33458,0.67077|1.43267|2|3.25|35.09091,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,9.0994,0,0.01445,7.85011,0,0.23633,118.00766,140.0267,164.2697,119.58847,141.76718,166.18597,165.808,204.611,243.414
Biomass Yield,Agroforestry Pruning-Inorganic Fertilizer,80,12,10,0.01977,0.41246,0.30911599944726675,0.14203,0.09089,-0.82526|0.14484|0.30912|0.60014|1.18562,0,1.61711,1.3622210690192007,0.14674,0.40513,0.43812|1.15586|1.36222|1.82237|3.27273,Multiple,lmerModLmerTest,NA,NA,NA,NA,NA,NA,4.53775,0.00152,0.02549,11.02044,0,0.07791,37.92916,51.05291,65.42537,39.69831,52.9904,67.54721,47.037,61.711,76.385
